"Gene","Rank"
"AT1G01950",799
"AT5G06140",800
"AT5G06810",801
"AT3G06400",802
"AT5G27460",803
"AT1G17210",804
"AT5G17440",805
"AT5G56930",806
"AT1G73320",807
"AT3G09000",808
"AT1G60170",809
"AT4G33060",810
"AT3G57710",811
"AT5G44860",812
"AT5G15170",813
"AT3G61710",814
"AT1G48635",815
"AT1G04210",816
"AT3G13990",817
"AT3G09880",818
"AT1G69020",819
"AT1G48760",820
"AT2G47620",821
"AT5G67610",822
"AT2G31370",823
"AT5G44100",824
"AT2G01220",825
"AT3G07020",826
"AT5G07740",827
"AT1G77140",828
"AT1G26640",829
"AT1G35620",830
"AT4G11860",831
"AT3G26730",832
"AT5G09400",833
"AT2G32980",834
"AT1G60995",835
"AT1G23490",836
"AT4G16530",837
"AT1G12620",838
"AT1G65430",839
"AT3G13670",840
"AT3G07080",841
"AT4G26240",842
"AT1G10430",843
"AT5G67320",844
"AT5G41940",845
"AT5G60410",846
"AT1G48310",847
"AT3G55070",848
"AT5G03470",849
"AT2G33110",850
"AT1G06410",851
"AT5G13530",852
"AT4G09810",853
"AT5G07270",854
"AT4G01880",855
"AT3G09320",856
"AT3G60380",857
"AT2G26350",858
"AT1G28340",859
"AT3G62140",860
"AT4G21670",861
"AT5G48965",862
"AT3G52640",863
"AT3G18040",864
"AT1G60670",865
"AT3G26370",866
"AT1G17790",867
"AT2G46920",868
"AT4G37880",869
"AT5G02130",870
"AT5G49880",871
"AT5G08535",872
"AT3G49880",873
"AT3G05710",874
"AT4G30260",875
"AT5G16210",876
"AT3G61540",877
"AT1G74160",878
"AT1G50940",879
"AT2G20410",880
"AT1G30440",881
"AT1G55090",882
"AT3G20970",883
"AT3G05670",884
"AT1G10820",885
"AT2G27170",886
"AT5G65570",887
"AT5G12100",888
"AT5G04940",889
"AT1G15240",890
"AT5G64090",891
"AT4G00980",892
"AT1G28060",893
"AT4G13350",894
"AT5G02770",895
"AT1G76940",896
"AT4G35310",897
"AT5G07320",898
"AT2G36720",899
"AT5G56190",900
"AT3G10800",901
"AT4G20400",902
"AT1G16570",903
"AT3G52560",904
"AT1G76140",905
"AT2G21270",906
"AT1G20560",907
"AT5G09410",908
"AT3G46960",909
"AT5G11960",910
"AT5G51280",911
"AT1G79190",912
"AT1G01960",913
"AT1G10580",914
"AT3G51640",915
"AT3G27310",916
"AT4G11440",917
"AT1G31300",918
"AT3G60980",919
"AT5G66010",920
"AT1G14650",921
"AT1G02130",922
"AT1G67170",923
"AT1G55130",924
"AT3G22430",925
"AT2G39810",926
"AT3G56690",927
"AT3G04500",928
"AT2G14850",929
"AT5G08415",930
"AT4G00170",931
"AT5G64220",932
"AT3G03330",933
"AT1G05430",934
"AT3G57580",935
"AT3G48430",936
"AT3G60410",937
"AT2G39805",938
"AT4G38180",939
"AT2G25710",940
"AT5G01460",941
"AT4G22150",942
"AT4G24730",943
"AT4G32330",944
"AT2G11000",945
"AT3G20280",946
"AT5G67580",947
"AT2G44200",948
"AT3G47390",949
"AT1G26620",950
"AT1G11360",951
"AT5G63870",952
"AT5G15270",953
"AT5G41910",954
"AT3G42790",955
"AT3G22470",956
"AT1G31220",957
"AT4G00755",958
"AT3G27670",959
"AT1G67500",960
"AT1G67890",961
"AT5G15570",962
"AT5G12430",963
"AT5G64600",964
"AT3G16060",965
"AT3G46920",966
"AT1G55250",967
"AT3G27460",968
"AT4G21170",969
"AT2G02910",970
"AT2G39840",971
"AT2G35110",972
"AT4G24440",973
"AT3G58460",974
"AT5G64830",975
"AT4G02010",976
"AT4G32560",977
"AT3G11890",978
"AT1G75510",979
"AT5G52040",980
"AT1G50710",981
"AT1G10170",982
"AT3G15351",983
"AT5G50230",984
"AT2G42247",985
"AT5G66290",986
"AT5G56450",987
"AT3G10810",988
"AT5G61500",989
"AT4G24200",990
"AT3G20890",991
"AT1G75080",992
"AT4G38130",993
"AT1G23465",994
"AT2G03070",995
"AT1G09820",996
"AT4G29960",997
"AT4G24500",998
"AT5G04090",999
"AT3G24860",1000
