"GSM1276497" "GSM1276498" "GSM1276499" "GSM1276500" "GSM1276501" "GSM1276502" "GSM1276503" "GSM1276504" "GSM1276505" "GSM1276506"
"AT1G01880" 510 528 365 428 350 223 527 403 631 85
"AT1G01890" 0 0 0 0 1 0 0 0 0 0
"AT1G01900" 832 41615 2387 61230 3013 38968 1063 56456 136961 3634
"AT1G01910" 3581 2739 3091 2965 3925 1775 5836 3416 3785 358
"AT1G01920" 1320 568 1191 600 1344 218 2061 924 1252 158
"AT1G01930" 1082 976 799 713 990 328 1492 934 1548 288
"AT1G01940" 1336 594 1069 584 1126 373 2156 1114 1376 268
"AT1G01950" 2791 2040 2317 1527 2580 570 4094 1919 2804 483
"AT1G01960" 8843 7817 6604 6641 7743 3215 10389 5000 11397 1575
"AT1G01970" 1156 946 1266 1018 1468 641 2815 992 1156 157
"AT1G01980" 0 18 0 15 0 10 2 52 98 11
"AT1G01990" 1005 700 1017 668 1102 409 1963 1128 1888 367
"AT1G02000" 423 550 202 192 205 168 527 416 977 259
"AT1G02010" 407 191 270 155 298 79 443 279 292 30
"AT1G02020" 759 887 866 997 947 577 1700 1154 2234 108
"AT1G02030" 24 11 11 20 25 9 47 44 17 0
"AT1G02040" 3 1 10 8 11 1 27 0 2 6
"AT1G02050" 234 104 504 209 532 91 629 308 558 60
"AT1G02060" 1190 423 540 185 587 40 1131 231 358 127
"AT1G02065" 2 1 12 2 29 0 46 3 4 4
"AT1G02070" 0 8 6 8 0 0 5 13 6 2
"AT1G02074" 0 0 0 1 0 0 0 0 0 0
"AT1G02080" 12218 14198 8794 9031 9260 3608 10832 6881 14452 1691
"AT1G02090" 3876 2357 3586 2095 4119 1011 6631 3046 3591 1107
"AT1G02100" 1883 1364 1302 1229 1549 657 2605 1732 1777 494
"AT1G02110" 5386 3710 5000 3467 5157 1483 8175 5265 11503 521
"AT1G02120" 1464 2609 1648 2247 1524 1091 2339 2711 4708 1380
"AT1G02130" 1728 1011 1674 1058 2031 746 3555 1670 1454 485
"AT1G02136" 1 0 0 0 2 0 1 1 0 0
"AT1G02140" 8122 5666 7204 6287 8158 3524 15840 8022 6541 1806
"AT1G02145" 1176 1581 998 1218 1087 720 1707 1306 1135 165
"AT1G02150" 9138 2945 8815 3585 8873 2242 17444 5809 7510 678
"AT1G02160" 798 932 869 825 1000 542 2062 1529 789 285
"AT1G02170" 1175 1690 1215 1510 1385 921 3138 2499 4669 480
"AT1G02180" 727 543 718 367 769 309 1412 969 920 45
"AT1G02190" 1 2 1 0 6 0 5 4 22 1
"AT1G02205" 5 114 7 23 7 1 16 41 131 40
"AT1G02210" 0 0 0 0 0 0 0 0 0 0
"AT1G02220" 8 237 6 28 6 7 4 42 25 12
"AT1G02228" 0 0 0 1 0 0 0 0 0 0
"AT1G02230" 1 4 11 10 5 0 12 5 0 0
"AT1G02250" 3 4 2 3 4 0 5 9 6 0
"AT1G02260" 470 564 437 434 544 277 916 773 851 176
"AT1G02270" 930 1425 728 696 1149 516 2156 886 1088 572
"AT1G02280" 6519 3286 6718 4158 6691 1887 11176 4343 3822 489
"AT1G02290" 932 298 835 415 974 305 1592 394 635 128
"AT1G02300" 354 359 96 540 78 73 441 344 433 102
"AT1G02305" 2307 2518 2373 4537 3618 4185 6814 5683 5545 1767
"AT1G02310" 38 865 50 825 98 508 67 930 980 130
"AT1G02320" 5 1 1 0 2 0 7 0 0 0
"AT1G02330" 1535 762 1437 1058 2258 672 2651 1646 2121 923
"AT1G02335" 2 4 6 0 15 4 22 29 6 3
"AT1G02340" 36 0 152 2 284 1 290 45 21 54
"AT1G02350" 91 59 84 42 104 12 147 103 65 6
"AT1G02360" 0 0 2 0 9 0 3 1 0 0
"AT1G02370" 1558 379 1308 464 1402 191 1704 341 765 169
"AT1G02380" 189 109 158 87 143 64 215 108 144 32
"AT1G02390" 3095 405 3481 256 3425 284 6825 937 493 153
"AT1G02391" 0 0 0 0 0 0 0 4 0 0
"AT1G02400" 0 6 6 36 14 100 33 51 176 0
"AT1G02405" 0 120 9 137 2 54 12 448 164 94
"AT1G02410" 1284 950 1003 871 1176 536 2119 1142 1167 367
"AT1G02420" 366 215 243 150 264 68 413 139 147 118
"AT1G02430" 72 48 65 36 86 20 139 61 34 43
"AT1G02440" 3 2 14 4 12 4 18 4 0 0
"AT1G02450" 13 8 53 26 22 1 47 9 0 0
"AT1G02460" 0 0 0 0 0 0 1 0 0 3
"AT1G02470" 10 19 6 14 26 12 14 9 0 7
"AT1G02475" 276 345 166 256 230 174 552 347 303 143
"AT1G02480" 3 0 0 0 0 0 0 0 0 0
"AT1G02490" 3 3 2 0 2 0 9 1 8 0
"AT1G02500" 10640 8122 7864 6538 10493 4989 20063 11294 21484 4153
"AT1G02510" 1 0 3 2 0 0 1 0 3 0
"AT1G02520" 54 209 22 142 27 65 33 113 236 91
"AT1G02530" 123 942 24 187 29 43 57 116 1062 416
"AT1G02540" 7 22 0 0 0 0 10 11 1 15
"AT1G02550" 1 19 0 0 0 2 1 8 18 4
"AT1G02560" 10756 4417 9971 4380 11918 2734 23106 8888 7516 890
"AT1G02570" 34 817 68 1044 74 901 32 1372 1791 3301
"AT1G02575" 0 2 0 2 0 0 0 4 7 12
"AT1G02580" 1 32 2 37 0 6 1 27 31 123
"AT1G02590" 7 69 0 1 0 0 2 9 1 0
"AT1G02600" 0 0 0 0 0 0 0 0 0 0
"AT1G02610" 4 17 2 11 6 2 6 7 2 55
"AT1G02620" 0 6 0 3 0 4 1 10 7 4
"AT1G02630" 0 0 0 0 0 0 1 2 0 0
"AT1G02640" 1572 91 1100 40 928 42 1387 477 85 24
"AT1G02650" 126 105 148 218 59 350 95 446 470 84
"AT1G02660" 263 569 380 465 476 452 1550 631 1480 185
"AT1G02670" 249 336 190 246 196 103 300 405 392 58
"AT1G02680" 701 462 701 454 824 337 1428 1132 1203 223
"AT1G02681" 1 2 0 0 19 0 7 8 0 0
"AT1G02690" 6638 2822 5223 2710 5605 2126 8843 4144 5096 488
"AT1G02700" 1 28 11 232 17 180 18 243 352 285
"AT1G02710" 8 9 10 23 4 10 27 34 19 179
"AT1G02720" 1124 1272 1070 2271 1365 1549 2538 1858 2166 4129
"AT1G02730" 16429 6866 15229 6974 14780 5117 21698 7694 10898 804
"AT1G02740" 520 339 405 333 457 198 741 368 433 251
"AT1G02750" 357 496 376 517 511 266 1019 521 419 118
"AT1G02760" 0 0 0 0 0 0 0 0 0 0
"AT1G02770" 88 4125 801 2764 95 1743 158 3238 3358 579
"AT1G02780" 94692 31007 68150 28650 88101 20497 166172 67291 82355 10346
"AT1G02790" 9 70 5 63 1 13 1 191 476 29
"AT1G02800" 6635 227 7751 245 5900 184 6781 1231 301 221
"AT1G02810" 1586 729 1776 428 1568 543 4032 1150 1880 63
"AT1G02813" 0 7 2 10 2 3 2 37 13 0
"AT1G02816" 305 741 346 789 494 356 1109 769 800 460
"AT1G02820" 0 3 0 0 0 0 1 2 0 6
"AT1G02830" 1 0 3 0 3 0 0 0 0 0
"AT1G02840" 8758 4913 7885 5275 8690 2957 15891 8636 11320 709
"AT1G02850" 44 307 24 543 52 553 205 1175 1056 106
"AT1G02860" 1873 713 1946 785 1786 747 3008 1287 1076 312
"AT1G02870" 2921 605 1961 467 1829 154 3161 930 1116 222
"AT1G02880" 267 125 286 67 303 59 490 156 135 57
"AT1G02890" 8964 9238 6729 7879 7232 3919 10508 8059 13295 1514
"AT1G02900" 1 3 1 1 0 0 0 0 5 0
"AT1G02910" 1412 832 1453 911 1314 561 2343 1336 1666 61
"AT1G02920" 3 83 3 27 0 2 2 5 19 0
"AT1G02930" 135 10017 67 691 44 609 53 491 2784 1076
"AT1G02940" 1 166 3 27 6 155 4 177 387 183
"AT1G02950" 0 0 0 0 0 0 0 0 2 0
"AT1G02952" 0 0 0 0 0 0 0 0 0 0
"AT1G02960" 557 714 488 470 539 128 800 926 698 271
"AT1G02965" 0 4 4 0 4 1 5 9 0 0
"AT1G02970" 1679 1311 1593 1060 1740 462 2827 892 1086 227
"AT1G02980" 176 7949 211 4092 247 1420 370 3489 2449 221
"AT1G02990" 1171 896 1014 661 1173 125 1275 707 816 448
"AT1G03000" 1624 1177 1342 985 1501 600 2232 1106 1951 313
"AT1G03010" 0 2 0 1 0 0 1 0 0 0
"AT1G03020" 0 0 0 0 0 0 0 0 0 0
"AT1G03022" 0 0 0 0 0 0 0 0 0 0
"AT1G03030" 1073 718 982 617 1401 503 2434 950 989 286
"AT1G03040" 2365 1331 2326 1363 2695 849 4435 2079 2818 972
"AT1G03050" 3 43 3 76 3 3 1 80 57 32
"AT1G03055" 39 1047 102 2244 33 409 32 1376 1355 292
"AT1G03060" 8323 5860 3993 2975 4433 1197 5534 2549 6539 974
"AT1G03070" 13 530 19 668 21 175 27 299 657 124
"AT1G03080" 547 1915 789 851 1033 245 953 1206 2291 1425
"AT1G03090" 1288 1749 1277 1603 1744 811 2763 2313 2616 285
"AT1G03100" 490 157 335 171 397 68 581 149 106 71
"AT1G03103" 0 1 2 0 1 0 1 1 0 0
"AT1G03106" 625 214 313 54 31 0 1559 151 21 29
"AT1G03110" 3480 732 2659 566 2807 377 3928 928 1090 276
"AT1G03120" 132 148 303 230 413 47 1613 608 334 34
"AT1G03130" 3625 1485 7192 2477 8203 1999 20845 9950 5634 2716
"AT1G03140" 3471 2361 3112 2840 3574 1404 5413 2834 3453 923
"AT1G03150" 646 470 642 405 687 288 1057 485 557 193
"AT1G03160" 2875 1361 2094 1077 2626 579 4001 1431 1745 208
"AT1G03170" 6 2 5 3 8 0 17 5 0 7
"AT1G03180" 292 66 238 59 358 29 374 76 53 26
"AT1G03190" 1245 1084 892 931 973 406 1322 890 1317 236
"AT1G03200" 0 0 3 1 1 1 3 1 9 7
"AT1G03210" 2682 2433 3263 2896 3498 1840 7503 4238 3452 369
"AT1G03220" 853 6 1878 41 2892 313 3291 798 21 43
"AT1G03230" 928 70 1146 29 2772 37 3281 709 57 78
"AT1G03240" 1 2 6 3 5 0 6 6 0 0
"AT1G03250" 1528 921 1227 921 1362 512 2155 1197 1780 599
"AT1G03260" 418 832 389 810 444 468 900 832 1619 250
"AT1G03270" 705 2467 797 2985 882 1191 1429 2900 4908 445
"AT1G03280" 2295 2257 2050 1862 2390 753 3419 2339 2864 686
"AT1G03290" 833 2185 714 2324 785 786 991 1405 1848 985
"AT1G03300" 300 208 415 215 377 59 357 202 419 167
"AT1G03310" 1742 2342 1071 2116 1285 1291 2308 1612 3124 320
"AT1G03320" 4 6 4 3 1 1 8 9 11 0
"AT1G03330" 2364 1084 1866 1280 2280 690 3670 1561 1217 584
"AT1G03340" 14 55 10 77 6 77 23 103 91 11
"AT1G03350" 1916 2835 1751 2873 2101 1784 3125 2418 4050 1691
"AT1G03360" 2589 776 2259 722 2563 298 3433 902 1220 206
"AT1G03365" 2058 1078 1652 839 1976 200 2420 1136 1527 769
"AT1G03370" 1008 589 692 404 1026 159 1473 522 858 208
"AT1G03380" 799 1201 614 1157 747 406 1092 859 1229 402
"AT1G03390" 1 0 0 3 3 4 5 3 0 4
"AT1G03400" 3 103 2 69 9 62 2 168 247 9
"AT1G03410" 91 304 1 8 109 14 213 147 76 21
"AT1G03420" 5 23 2 0 3 26 12 7 16 23
"AT1G03430" 434 999 304 1025 395 501 762 757 685 172
"AT1G03440" 596 7532 725 8876 591 5805 801 9011 23416 529
"AT1G03445" 104 648 153 445 103 96 108 264 258 5
"AT1G03457" 2709 414 4048 1166 3954 464 5977 1432 2035 293
"AT1G03470" 774 4001 1543 3924 1469 2064 1869 3311 3958 773
"AT1G03475" 8949 4023 8130 3938 9725 2488 16653 6720 6274 1248
"AT1G03490" 0 0 0 0 0 0 0 0 0 0
"AT1G03495" 62 38 61 49 63 53 120 104 158 17
"AT1G03502" 0 0 0 0 0 0 0 0 0 3
"AT1G03506" 1 5 11 2 5 6 1 0 1 4
"AT1G03510" 234 151 217 101 229 46 504 175 176 52
"AT1G03515" 0 0 0 0 0 0 1 1 0 0
"AT1G03520" 314 196 353 221 410 129 634 224 198 125
"AT1G03530" 4019 916 2793 561 2622 152 3293 1070 2214 766
"AT1G03540" 274 79 243 47 326 16 306 76 174 34
"AT1G03545" 49 15 45 9 56 1 48 8 0 2
"AT1G03550" 103 38 109 44 150 18 145 64 113 52
"AT1G03560" 890 453 509 436 633 142 948 299 624 358
"AT1G03570" 0 0 0 0 0 0 2 0 0 0
"AT1G03580" 5 16 10 27 15 9 53 14 46 6
"AT1G03590" 911 403 854 355 1214 210 2123 525 676 397
"AT1G03600" 2256 1725 3550 1953 4157 2129 10115 6608 5326 730
"AT1G03610" 481 310 322 371 543 439 1054 566 341 178
"AT1G03620" 2 39 0 25 2 6 9 23 45 1
"AT1G03630" 2834 962 3926 1380 4214 1312 9360 3927 2358 705
"AT1G03640" 0 0 0 0 0 0 0 0 0 0
"AT1G03650" 182 45 163 56 208 21 472 125 73 14
"AT1G03660" 2 12 12 2 29 1 17 2 0 0
"AT1G03670" 0 0 0 0 4 0 5 0 0 0
"AT1G03680" 4966 3122 5104 3613 5591 2939 12383 7856 8419 748
"AT1G03687" 1579 497 1297 591 1284 368 2540 942 1037 295
"AT1G03700" 1 1 2 2 2 6 5 4 1 0
"AT1G03710" 2057 1781 197 1217 98 929 1961 2338 2791 221
"AT1G03720" 8 2 1 0 0 0 2 0 0 0
"AT1G03730" 376 657 493 382 480 236 1850 672 940 292
"AT1G03740" 707 552 623 465 650 159 1082 442 554 312
"AT1G03743" 0 0 0 0 14 2 9 0 0 4
"AT1G03746" 4 0 1 1 12 0 23 4 0 16
"AT1G03750" 481 782 376 677 528 206 608 633 741 252
"AT1G03760" 1317 859 741 355 868 134 1541 636 836 188
"AT1G03770" 1039 895 559 482 734 201 919 800 1023 371
"AT1G03780" 6910 2263 6002 1505 6187 532 7271 3369 4385 576
"AT1G03790" 2 2 1 0 0 0 4 0 0 0
"AT1G03800" 3 0 0 1 11 5 46 15 4 2
"AT1G03810" 1 0 0 4 0 0 1 0 11 0
"AT1G03820" 1 0 2 0 4 0 25 0 0 0
"AT1G03830" 4116 1808 3196 1100 3217 207 3739 1435 2521 493
"AT1G03840" 785 0 385 3 537 3 897 115 3 7
"AT1G03850" 5 7 6 4 7 0 21 10 8 10
"AT1G03860" 8317 3026 5897 2253 6974 1133 11683 3915 4668 455
"AT1G03870" 0 3 0 3 0 0 0 0 7 8
"AT1G03880" 5 7 154 3 218 0 6560 407 40 1
"AT1G03890" 17 20 3 8 0 6 20 34 44 0
"AT1G03900" 1839 2537 1338 2548 1897 1746 3566 4186 7257 1620
"AT1G03905" 218 191 94 117 139 64 402 185 225 30
"AT1G03910" 5664 2809 4568 2684 4871 897 6478 3060 4258 713
"AT1G03920" 33 750 66 782 51 174 58 967 3992 4708
"AT1G03930" 760 899 818 1022 801 364 1304 1024 1578 324
"AT1G03935" 4 10 10 10 7 17 8 7 0 1
"AT1G03940" 78 27 94 44 73 24 141 95 215 23
"AT1G03950" 114 592 52 225 48 129 156 442 643 165
"AT1G03960" 910 614 664 581 763 286 1007 657 867 169
"AT1G03970" 363 709 264 656 389 352 580 544 621 474
"AT1G03980" 255 50 186 43 146 17 186 61 45 16
"AT1G03982" 0 0 0 0 4 0 6 1 0 0
"AT1G03990" 360 508 408 507 534 257 846 610 862 115
"AT1G04000" 1832 1257 1957 1094 2282 776 5152 2703 4434 140
"AT1G04010" 655 232 428 143 464 74 758 164 391 127
"AT1G04020" 2960 1450 2647 1009 2535 550 4111 1377 1336 197
"AT1G04030" 2162 2913 1993 4206 1974 1730 2984 4343 5630 686
"AT1G04040" 21 35 29 82 34 23 41 37 38 24
"AT1G04050" 634 193 769 277 790 123 883 371 538 60
"AT1G04070" 684 609 706 608 583 307 1125 1031 1053 73
"AT1G04080" 12310 5658 9970 5995 11041 3066 16378 7211 11944 1950
"AT1G04090" 104 367 74 434 114 206 123 315 421 91
"AT1G04100" 90 255 79 241 120 133 209 201 296 88
"AT1G04110" 281 84 151 78 144 48 239 158 256 16
"AT1G04120" 9889 14215 9630 12642 11760 4901 21078 7995 17487 2283
"AT1G04130" 1152 534 691 372 811 255 1270 672 511 161
"AT1G04140" 6526 5743 5663 6209 5894 3141 9156 5351 8596 879
"AT1G04150" 3073 1101 3195 588 2859 489 4692 1269 2523 327
"AT1G04160" 1635 642 1327 337 1616 186 2188 931 1516 357
"AT1G04170" 11263 4922 10306 5950 11741 3651 14292 5648 8659 1024
"AT1G04171" 0 0 0 0 0 0 0 0 0 0
"AT1G04180" 14 4 32 2 38 0 95 9 0 0
"AT1G04190" 3651 1933 2494 1404 2875 825 4129 1952 2364 473
"AT1G04200" 1471 2250 1229 1460 1805 857 2465 1491 2030 626
"AT1G04210" 6055 3518 5316 2625 6496 1158 8301 2571 3708 536
"AT1G04220" 897 1295 619 332 730 112 913 217 1129 1261
"AT1G04230" 929 727 799 612 930 358 1697 864 1239 115
"AT1G04240" 19 15 18 13 22 4 53 16 13 1
"AT1G04250" 268 0 394 2 372 0 682 105 3 22
"AT1G04260" 481 1306 618 1521 677 922 1481 2095 2588 411
"AT1G04270" 40791 13107 32769 14077 39155 10026 65121 27050 23652 3328
"AT1G04280" 37 96 20 12 37 10 164 108 29 3
"AT1G04290" 13 63 33 53 42 42 83 67 36 31
"AT1G04295" 0 0 0 1 0 0 1 0 0 6
"AT1G04300" 4262 5039 3430 2704 4159 892 5105 4335 8991 2569
"AT1G04310" 766 2210 896 3003 1360 1974 2483 2764 4432 477
"AT1G04320" 0 0 0 0 0 0 1 0 0 0
"AT1G04330" 0 5 2 4 3 7 32 10 36 0
"AT1G04340" 1593 1541 1217 1308 1376 885 2612 2159 1568 215
"AT1G04350" 24 306 9 102 17 73 21 351 183 35
"AT1G04360" 83 46 34 1 134 39 377 71 94 47
"AT1G04370" 0 0 0 0 0 0 0 0 0 0
"AT1G04380" 97 7874 338 15168 429 15741 176 20118 18534 1838
"AT1G04390" 590 553 526 501 502 183 692 499 650 100
"AT1G04400" 1357 1000 2596 2023 2484 1005 3954 1863 1446 406
"AT1G04410" 46147 51880 42038 57857 52205 46578 106379 82739 100309 4654
"AT1G04420" 2290 1103 2476 1488 2466 845 5226 2034 1901 540
"AT1G04425" 2609 3303 2377 2241 811 1248 4173 5633 4580 627
"AT1G04430" 599 444 690 400 1248 287 1479 668 1100 427
"AT1G04440" 1136 1390 1105 1444 1322 720 2062 1865 1865 606
"AT1G04445" 1 3 2 3 2 2 19 10 5 1
"AT1G04450" 2 3 6 1 0 0 2 2 18 9
"AT1G04457" 9 11 6 13 6 5 24 5 17 0
"AT1G04470" 0 22 0 10 0 4 1 39 88 10
"AT1G04480" 16729 4965 11803 4966 14208 2490 29009 12445 6595 558
"AT1G04490" 24 82 19 162 16 150 86 77 120 18
"AT1G04500" 0 0 0 0 0 0 1 0 5 4
"AT1G04501" 0 0 0 0 0 0 0 0 0 0
"AT1G04510" 8940 4252 5732 3261 6074 1802 9829 3897 5060 569
"AT1G04520" 6262 3878 4228 3017 4531 1428 7307 3293 4589 544
"AT1G04530" 2035 1176 1905 1733 2214 898 3579 1883 1426 499
"AT1G04540" 40 105 13 21 17 26 33 112 202 49
"AT1G04550" 2440 904 2285 846 2347 517 3692 1160 1292 245
"AT1G04555" 98 466 67 247 136 151 234 339 471 185
"AT1G04560" 0 3 0 0 2 0 38 7 0 0
"AT1G04570" 159 488 201 529 256 325 396 438 927 101
"AT1G04580" 361 4690 646 5773 466 2714 399 3480 8389 8414
"AT1G04590" 1730 643 1761 870 1838 338 2624 1114 1103 235
"AT1G04600" 400 156 378 175 335 47 316 184 456 82
"AT1G04610" 404 39 469 11 777 11 851 141 57 66
"AT1G04620" 2371 663 2934 1427 3119 747 5953 2155 1454 459
"AT1G04625" 1 13 2 2 2 1 3 4 8 3
"AT1G04630" 2287 1513 2307 1674 2713 1150 5714 3771 3208 397
"AT1G04635" 517 54 319 73 395 33 792 173 52 48
"AT1G04640" 385 68 363 117 470 58 900 187 87 43
"AT1G04645" 82 1504 136 2342 107 2711 178 6984 2825 546
"AT1G04650" 1772 867 1175 498 1314 182 1731 422 544 91
"AT1G04660" 169216 114 270144 1959 331795 497 697196 146262 292 7616
"AT1G04670" 0 3 0 1 0 0 0 0 0 0
"AT1G04680" 699 1197 1289 720 1866 792 5222 1325 2419 107
"AT1G04684" 0 0 0 0 0 0 0 0 0 0
"AT1G04690" 8228 4641 9505 7576 11457 3577 20927 6040 6930 880
"AT1G04700" 258 171 260 186 407 80 396 165 386 80
"AT1G04710" 2398 1746 1826 1697 1986 982 3961 2649 3221 458
"AT1G04720" 0 0 2 1 0 0 13 1 0 0
"AT1G04730" 1602 738 1207 386 1311 121 1770 616 607 184
"AT1G04750" 4292 5305 3807 6086 5082 2908 9196 5987 6115 2050
"AT1G04760" 481 661 544 616 595 445 995 764 1124 108
"AT1G04770" 2680 1097 395 1586 957 1096 2546 2230 4659 702
"AT1G04778" 2 1 5 0 6 0 58 15 0 2
"AT1G04780" 2025 1281 1953 1295 2264 424 2573 1404 2819 1516
"AT1G04790" 1608 1109 1675 1044 1775 490 2488 1098 1620 383
"AT1G04800" 7 0 6 2 21 9 19 6 0 1
"AT1G04810" 7594 5789 4504 5036 5057 1711 6955 4854 8297 712
"AT1G04820" 39040 36382 42053 52139 49402 36885 77436 59420 93122 7565
"AT1G04830" 1216 1254 1093 1413 1079 601 1979 1631 2445 145
"AT1G04840" 207 63 159 52 215 26 245 44 55 43
