"Gene","Rank"
"AT2G25300",593
"AT2G47350",594
"AT3G01340",595
"AT1G69340",596
"AT5G08450",597
"AT5G10270",598
"AT2G06990",599
"AT3G24350",600
"AT3G61710",601
"AT4G11260",602
"AT2G20410",603
"AT1G24120",604
"AT3G63460",605
"AT1G61670",606
"AT1G71220",607
"AT4G23980",608
"AT2G45590",609
"AT3G07300",610
"AT5G61840",611
"AT2G36330",612
"AT1G18070",613
"AT1G11310",614
"AT1G23820",615
"AT5G48970",616
"AT3G48430",617
"AT1G20575",618
"AT4G10320",619
"AT4G11630",620
"AT5G22030",621
"AT1G61010",622
"AT5G65260",623
"AT2G19560",624
"AT5G67320",625
"AT3G03090",626
"AT3G09560",627
"AT1G04690",628
"AT5G42920",629
"AT3G08800",630
"AT4G02450",631
"AT1G50380",632
"AT4G02030",633
"AT2G43420",634
"AT4G15940",635
"AT5G51280",636
"AT2G03620",637
"AT2G18245",638
"AT5G60210",639
"AT3G47700",640
"AT1G51390",641
"AT5G03070",642
"AT4G22540",643
"AT5G20890",644
"AT4G16444",645
"AT4G29040",646
"AT1G16280",647
"AT3G22950",648
"AT5G26760",649
"AT4G17650",650
"AT5G09850",651
"AT2G25670",652
"AT1G47250",653
"AT5G18190",654
"AT3G17310",655
"AT1G13020",656
"AT5G57160",657
"AT1G79990",658
"AT4G36960",659
"AT2G01720",660
"AT3G59950",661
"AT4G34310",662
"AT1G07910",663
"AT4G38500",664
"AT5G23140",665
"AT3G59280",666
"AT3G54760",667
"AT4G04950",668
"AT3G05290",669
"AT4G18800",670
"AT1G07030",671
"AT1G75510",672
"AT4G15880",673
"AT1G16680",674
"AT4G17330",675
"AT1G04850",676
"AT1G48170",677
"AT4G33410",678
"AT5G15170",679
"AT2G39170",680
"AT4G17620",681
"AT1G20200",682
"AT1G04170",683
"AT3G13990",684
"AT2G22475",685
"AT1G73960",686
"AT5G05610",687
"AT5G24520",688
"AT1G78870",689
"AT5G05980",690
"AT1G64550",691
"AT3G61050",692
"AT3G60740",693
"AT1G48880",694
"AT1G74900",695
"AT2G02148",696
"AT5G26360",697
"AT2G13650",698
"AT4G03000",699
"AT2G39740",700
"AT5G41600",701
"AT4G36290",702
"AT1G61980",703
"AT2G38660",704
"AT1G47570",705
"AT2G28590",706
"AT3G07190",707
"AT1G22940",708
"AT3G56460",709
"AT1G31730",710
"AT5G12430",711
"AT1G19480",712
"AT5G11350",713
"AT3G47060",714
"AT5G55550",715
"AT5G60370",716
"AT3G57570",717
"AT3G23300",718
"AT2G02560",719
"AT4G17410",720
"AT5G64730",721
"AT4G00500",722
"AT2G27090",723
"AT1G66345",724
"AT3G22220",725
"AT3G55140",726
"AT2G38440",727
"AT4G26180",728
"AT1G51630",729
"AT5G19910",730
"AT4G32050",731
"AT4G26100",732
"AT3G07880",733
"AT5G04670",734
"AT4G39050",735
"AT3G12380",736
"AT2G30980",737
"AT1G18560",738
"AT3G05100",739
"AT3G19460",740
"AT4G23460",741
"AT1G09020",742
"AT2G04740",743
"AT1G49980",744
"AT5G40870",745
"AT1G68160",746
"AT3G51610",747
"AT4G07990",748
"AT1G20550",749
"AT3G56150",750
"AT1G31930",751
"AT5G53470",752
"AT3G49990",753
"AT1G21480",754
"AT1G47870",755
"AT3G52200",756
"AT2G39960",757
"AT4G31160",758
"AT5G42960",759
"AT1G06730",760
"AT1G69460",761
"AT5G21010",762
"AT1G07980",763
"AT1G48200",764
"AT2G22010",765
"AT3G55620",766
"AT1G61210",767
"AT1G71900",768
"AT1G06910",769
"AT1G04010",770
"AT3G15980",771
"AT5G62760",772
"AT3G22845",773
"AT1G02130",774
"AT1G28490",775
"AT3G14410",776
"AT5G05010",777
"AT1G54610",778
"AT1G17720",779
"AT2G40190",780
"AT1G01510",781
"AT3G55070",782
"AT1G77840",783
"AT1G67420",784
"AT5G60590",785
"AT3G11400",786
"AT2G44610",787
"AT1G35620",788
"AT3G12480",789
"AT3G62300",790
"AT3G23310",791
"AT2G25560",792
"AT3G14120",793
"AT1G24050",794
"AT1G47490",795
"AT1G69800",796
"AT1G47420",797
"AT5G09680",798
"AT3G09360",799
"AT1G07960",800
"AT3G23660",801
"AT2G29210",802
"AT4G17960",803
"AT1G70190",804
"AT5G35570",805
"AT2G26460",806
"AT5G53540",807
"AT1G06740",808
"AT1G27910",809
"AT5G65760",810
"AT3G04970",811
"AT4G09800",812
"AT5G01310",813
"AT4G13350",814
"AT2G14120",815
"AT1G50370",816
"AT1G54490",817
"AT1G08750",818
"AT4G30000",819
"AT1G77470",820
"AT1G11900",821
"AT2G20330",822
"AT1G76850",823
"AT4G01280",824
"AT3G22180",825
"AT5G45050",826
"AT4G27120",827
"AT5G04430",828
"AT1G13560",829
"AT1G55325",830
"AT2G01690",831
"AT2G40860",832
"AT5G58690",833
"AT4G33200",834
"AT1G22920",835
"AT1G24706",836
"AT2G16090",837
"AT3G11880",838
"AT1G22060",839
"AT3G60820",840
"AT3G59600",841
"AT5G54110",842
"AT1G64840",843
"AT5G45290",844
"AT4G16830",845
"AT3G07180",846
"AT1G04510",847
"AT1G22970",848
"AT3G53390",849
"AT1G28340",850
"AT4G14455",851
"AT1G56350",852
"AT2G38040",853
"AT1G11880",854
"AT3G19740",855
"AT1G33780",856
"AT5G03100",857
"AT5G03450",858
"AT5G20990",859
"AT1G19580",860
"AT1G56610",861
"AT2G37550",862
"AT4G39170",863
"AT5G04740",864
"AT3G04830",865
"AT1G48900",866
"AT5G67220",867
"AT1G36990",868
"AT1G34120",869
"AT2G05840",870
"AT5G16320",871
"AT1G74330",872
"AT3G21865",873
"AT2G17530",874
"AT4G01210",875
"AT5G59740",876
"AT5G46620",877
"AT5G47580",878
"AT5G48965",879
"AT2G31660",880
"AT3G10540",881
"AT1G51710",882
"AT4G25515",883
"AT4G39570",884
"AT2G19430",885
"AT5G10110",886
"AT1G80810",887
"AT1G78900",888
"AT3G14160",889
"AT3G27320",890
"AT4G32820",891
"AT2G04235",892
"AT5G04940",893
"AT5G46630",894
"AT1G66660",895
"AT4G29810",896
"AT3G01910",897
"AT1G15660",898
"AT2G26590",899
"AT5G04420",900
"AT1G62600",901
"AT4G38430",902
"AT5G13160",903
"AT4G36210",904
"AT1G08600",905
"AT5G43310",906
"AT1G05120",907
"AT1G48560",908
"AT3G27310",909
"AT2G18030",910
"AT3G22190",911
"AT2G32070",912
"AT3G47910",913
"AT5G38380",914
"AT4G11410",915
"AT5G15570",916
"AT4G28200",917
"AT1G05055",918
"AT5G51710",919
"AT5G65930",920
"AT5G13070",921
"AT4G28600",922
"AT4G34660",923
"AT3G55050",924
"AT3G07080",925
"AT5G40880",926
"AT2G24590",927
"AT4G32560",928
"AT2G15560",929
"AT5G60750",930
"AT1G80040",931
"AT3G02530",932
"AT4G24730",933
"AT3G16940",934
"AT3G53110",935
"AT3G62390",936
"AT4G02600",937
"AT5G14850",938
"AT3G46590",939
"AT4G21100",940
"AT5G18580",941
"AT3G06910",942
"AT4G24270",943
"AT5G13660",944
"AT5G41000",945
"AT2G30575",946
"AT3G12280",947
"AT5G50310",948
"AT3G19960",949
"AT4G27640",950
"AT2G20860",951
"AT4G30630",952
"AT4G36140",953
"AT3G17250",954
"AT5G05660",955
"AT1G03250",956
"AT1G08400",957
"AT2G38430",958
"AT4G27060",959
"AT5G07270",960
"AT2G26060",961
"AT1G79070",962
"AT1G77140",963
"AT4G30870",964
"AT3G16170",965
"AT5G58450",966
"AT2G17540",967
"AT2G38840",968
"AT5G41760",969
"AT1G04790",970
"AT1G53760",971
"AT2G34520",972
"AT3G22110",973
"AT3G11890",974
"AT2G43950",975
"AT5G26850",976
"AT4G01570",977
"AT4G01370",978
"AT4G27910",979
"AT1G01710",980
"AT5G58470",981
"AT1G21280",982
"AT4G36480",983
"AT1G63700",984
"AT3G53340",985
"AT5G60620",986
"AT2G16405",987
"AT5G04850",988
"AT5G65490",989
"AT1G19170",990
"AT2G02480",991
"AT4G38900",992
"AT2G17870",993
"AT1G10130",994
"AT3G44600",995
"AT1G58110",996
"AT5G25360",997
"AT5G23720",998
"AT3G54010",999
"AT1G20670",1000
