"Gene","Rank"
"AT3G18210",493
"AT5G67580",494
"AT4G27120",495
"AT1G56000",496
"AT4G23910",497
"AT1G61770",498
"AT3G53570",499
"AT4G14190",500
"AT1G79990",501
"AT5G53560",502
"AT3G48820",503
"AT4G24880",504
"AT3G24010",505
"AT4G30820",506
"AT5G06660",507
"AT5G58560",508
"AT2G04620",509
"AT3G18790",510
"AT1G63270",511
"AT1G52420",512
"AT3G01360",513
"AT5G41480",514
"AT3G03305",515
"AT5G32470",516
"AT1G04985",517
"AT1G66660",518
"AT2G38630",519
"AT2G48000",520
"AT4G26410",521
"AT1G06890",522
"AT5G23040",523
"AT4G01040",524
"AT1G16040",525
"AT2G40190",526
"AT5G54750",527
"AT1G71750",528
"AT2G23080",529
"AT2G18840",530
"AT1G30090",531
"AT5G21010",532
"AT1G65540",533
"AT4G24330",534
"AT3G58020",535
"AT3G52280",536
"AT3G10540",537
"AT2G44820",538
"AT4G32010",539
"AT3G09360",540
"AT1G63430",541
"AT5G52890",542
"AT5G13890",543
"AT3G16060",544
"AT3G49100",545
"AT1G10670",546
"AT1G24050",547
"AT5G19480",548
"AT4G24500",549
"AT1G25290",550
"AT2G30700",551
"AT5G12290",552
"AT5G46750",553
"AT4G24560",554
"AT5G03100",555
"AT1G20540",556
"AT1G13770",557
"AT5G33280",558
"AT5G15880",559
"AT1G74900",560
"AT1G64520",561
"AT5G67290",562
"AT3G12210",563
"AT3G57420",564
"AT1G77080",565
"AT1G04750",566
"AT1G62680",567
"AT3G05050",568
"AT4G17020",569
"AT4G00170",570
"AT3G11200",571
"AT3G01150",572
"AT4G03635",573
"AT2G01720",574
"AT4G31300",575
"AT5G41150",576
"AT3G09890",577
"AT3G62360",578
"AT4G35890",579
"AT3G05420",580
"AT5G13300",581
"AT4G32130",582
"AT5G49580",583
"AT1G30000",584
"AT3G08840",585
"AT1G11090",586
"AT3G06440",587
"AT1G06130",588
"AT3G12180",589
"AT5G43940",590
"AT5G47090",591
"AT5G61840",592
"AT5G43710",593
"AT5G36230",594
"AT1G76260",595
"AT3G56510",596
"AT3G56760",597
"AT3G02680",598
"AT4G17910",599
"AT1G22020",600
"AT1G28490",601
"AT3G51850",602
"AT3G11890",603
"AT2G21230",604
"AT3G20650",605
"AT3G54610",606
"AT1G44810",607
"AT2G14120",608
"AT3G59360",609
"AT5G65940",610
"AT3G17240",611
"AT1G34020",612
"AT1G02330",613
"AT4G00710",614
"AT2G44770",615
"AT1G27000",616
"AT2G18960",617
"AT1G10840",618
"AT5G48340",619
"AT1G34270",620
"AT1G22920",621
"AT1G54680",622
"AT3G07680",623
"AT2G38880",624
"AT4G39520",625
"AT5G08440",626
"AT3G02720",627
"AT3G54010",628
"AT2G38680",629
"AT1G67250",630
"AT5G64440",631
"AT3G17880",632
"AT1G13560",633
"AT1G13870",634
"AT3G29160",635
"AT5G11560",636
"AT4G15840",637
"AT3G53390",638
"AT3G55490",639
"AT3G49510",640
"AT4G35570",641
"AT3G27430",642
"AT4G11820",643
"AT5G08060",644
"AT1G48050",645
"AT5G35995",646
"AT4G22140",647
"AT5G58440",648
"AT3G08910",649
"AT3G43540",650
"AT2G19600",651
"AT5G59710",652
"AT5G66140",653
"AT5G19350",654
"AT2G14835",655
"AT1G54140",656
"AT1G43900",657
"AT5G38600",658
"AT1G71900",659
"AT1G49350",660
"AT1G23950",661
"AT3G59430",662
"AT1G48230",663
"AT4G27610",664
"AT1G17040",665
"AT2G18710",666
"AT3G26950",667
"AT3G18060",668
"AT4G00231",669
"AT5G53340",670
"AT1G22970",671
"AT5G61760",672
"AT5G22400",673
"AT4G14570",674
"AT1G78560",675
"AT2G28520",676
"AT4G19560",677
"AT1G76060",678
"AT1G65270",679
"AT2G31710",680
"AT5G47760",681
"AT1G10940",682
"AT2G28380",683
"AT4G34660",684
"AT1G31020",685
"AT1G53850",686
"AT3G12050",687
"AT5G41130",688
"AT3G57890",689
"AT5G59290",690
"AT1G28340",691
"AT2G26510",692
"AT1G17720",693
"AT5G06420",694
"AT3G57750",695
"AT1G14830",696
"AT5G36170",697
"AT3G59910",698
"AT1G04070",699
"AT1G61790",700
"AT5G65250",701
"AT4G27690",702
"AT2G29560",703
"AT4G31410",704
"AT2G43465",705
"AT2G45640",706
"AT2G40540",707
"AT3G33520",708
"AT2G24520",709
"AT3G45740",710
"AT5G22370",711
